医療機関,合計,療養,精神,結核感染症,一般
13109,19,,,,
13110,85,0,0,0,85
13111,221,40,0,0,181
13112,144,90,0,0,54
13113,149,106,0,0,43
13114,151,0,0,0,151
13115,401,0,0,0,401
13116,303,0,0,0,303
13117,74,,,,
13118,50,0,0,0,50
13119,284,0,0,0,284
13120,304,,,,
13121,102,0,0,0,102
13122,290,0,0,0,290
13123,236,0,0,0,236
13124,101,0,0,0,101
13125,136,0,0,0,136
13126,316,0,0,0,316
13127,144,0,0,0,144
13128,99,0,0,0,99
13129,5,0,0,0,5
13130,579,0,0,0,579
13131,157,71,0,0,86
13132,199,0,0,0,199
13133,161,110,0,0,51
13134,199,0,0,0,199
13135,199,0,0,0,199
13136,500,0,461,0,39
13137,199,0,0,0,199
13138,252,0,0,0,252
13139,250,227,0,0,23
13140,99,49,0,0,50
13141,404,0,129,0,275
13142,97,0,0,0,97
13143,191,156,0,0,35
13144,135,0,0,0,135
13145,180,,,,
13146,291,,,,
13147,311,0,0,0,311
13148,316,120,0,0,196
13149,168,0,0,0,168
13150,230,,,,
13151,67,0,0,0,67
13152,161,161,0,0,0
13153,310,0,0,0,310
13154,429,0,429,0,0
13156,587,,,,
13157,120,120,0,0,0
13158,141,0,0,0,141
13159,126,0,0,0,126
13160,60,0,0,0,60
13161,126,64,0,0,62
13162,122,0,0,0,122
13163,186,0,0,0,186
13164,83,0,0,0,83
13165,199,0,0,0,199
13166,210,50,0,0,160
13167,88,37,0,0,51
13168,130,31,0,0,99
13169,132,0,0,0,132
13170,343,0,0,0,343
13171,47,0,0,0,47
13172,60,0,0,0,60
13173,80,40,0,0,40
13174,224,0,0,0,224
13996,0,,,,
13997,0,,,,
13998,0,,,,
13999,400,100,50,50,200
14001,225,0,0,0,225
14002,1033,0,0,0,1033
14003,1208,0,52,0,1156
14004,654,0,26,19,609
14005,458,0,0,0,458
14006,356,0,0,0,356
14007,280,0,0,0,280
14008,300,0,0,0,300
14009,634,0,50,0,584
14010,410,0,0,0,410
14011,278,0,0,0,278
14012,584,0,0,0,584
14013,138,,,,
14014,326,0,0,0,326
14015,619,0,0,0,619
14016,804,0,0,0,804
14017,726,0,50,0,676
14018,518,0,0,0,518
14019,510,0,40,0,470
14020,370,0,0,50,320
14021,437,0,0,6,431
14023,403,0,0,0,403
14024,267,0,0,0,267
14025,250,50,0,0,200
14026,320,0,0,0,320
14027,538,0,110,0,428
14028,536,0,0,6,530
14030,735,0,0,0,735
14031,417,100,0,0,317
14032,277,0,0,6,271
14033,430,0,0,0,430
14034,565,0,0,0,565
14035,500,0,0,0,500
14036,415,0,0,0,415
14037,292,0,0,0,292
14038,650,0,0,0,650
14039,376,0,0,0,376
14041,239,0,0,60,179
14042,136,0,0,0,136
14043,292,0,0,0,292
14044,322,63,0,0,259
14045,441,0,0,0,441
14046,416,0,0,6,410
14047,350,0,0,0,350
14048,253,0,0,0,253
14049,300,0,0,0,300
14050,218,0,0,0,218
14051,650,0,0,26,624
14052,610,0,0,0,610
14053,560,0,50,0,510
14054,199,0,0,0,199
14055,689,0,92,0,597
14056,419,0,40,0,379
14057,419,0,0,0,419
14058,261,0,0,0,261
14059,333,333,0,0,0
14060,401,0,0,0,401
14061,267,0,0,0,267
14062,300,40,0,0,260
14063,168,60,0,0,108
14064,251,0,0,0,251
14065,383,0,0,40,343
14066,258,0,0,6,252
14067,713,0,38,12,663
14068,88,0,0,0,88
14069,372,0,0,0,372
14070,241,0,0,0,241
14071,199,0,0,0,199
14072,261,108,0,0,153
14073,236,37,0,0,199
14074,60,0,0,0,60
14075,126,126,0,0,0
14076,300,0,0,0,300
14077,161,0,0,0,161
14078,199,0,0,0,199
14079,591,446,0,0,145
14080,199,0,0,0,199
14081,515,60,0,0,455
14082,114,0,0,0,114
14083,317,60,0,0,257
14084,146,0,0,0,146
14085,395,48,0,0,347
14086,400,0,0,0,400
14087,199,0,0,0,199
14088,114,0,0,0,114
14089,358,0,0,0,358
14090,417,0,0,0,417
14091,469,0,0,0,469
14092,171,126,0,0,45
14093,147,42,0,0,105
14094,393,0,393,0,0
14095,377,0,0,0,377
14096,224,44,0,0,180
14097,229,117,112,0,0
14098,140,0,0,0,140
14099,391,0,391,0,0
14100,175,0,0,0,175
14102,291,,,,
14103,182,,,,
14104,132,0,0,0,132
14105,188,0,0,0,188
14106,348,40,44,0,264
14107,120,,,,
14108,151,,,,
14109,208,0,0,0,208
14110,212,0,0,0,212
14111,97,0,0,0,97
15001,825,0,64,0,761
15002,427,0,0,0,427
15003,250,0,0,0,250
15004,481,0,0,0,481
15006,400,0,0,0,400
15007,134,44,0,0,90
15008,676,0,16,8,652
15009,530,0,0,6,524
15010,404,127,0,0,277
15011,230,48,0,0,182
15012,513,0,0,0,513
15013,250,54,0,0,196
15014,325,0,0,0,325
15015,261,0,0,0,261
15016,649,0,0,40,609
15017,350,0,0,0,350
15018,240,240,0,0,0
15019,293,0,133,0,160
15020,240,120,0,0,120
15021,360,0,0,0,360
15022,312,0,0,0,312
15023,199,0,0,0,199
15024,199,32,0,0,167
15025,261,0,0,0,261
15026,450,0,0,0,450
15028,199,0,0,0,199
15029,400,120,0,30,250
15030,478,0,45,4,429
15031,275,0,0,0,275
15032,318,0,0,0,318
15033,199,0,0,0,199
15034,354,0,0,4,350
15035,262,47,0,0,215
15036,199,44,0,0,155
15037,454,0,50,4,400
15038,261,201,0,0,60
15039,177,24,0,0,153
15040,140,0,0,0,140
16001,266,0,0,0,266
16002,612,0,43,0,569
16003,414,0,0,9,405
16004,435,0,0,0,435
16005,595,0,50,6,539
16006,514,0,44,9,461
16007,250,0,0,5,245
16009,733,0,50,18,665
16010,300,0,0,30,270
16011,562,0,0,0,562
16012,476,0,50,18,408
16013,193,53,0,0,140
16014,250,0,0,0,250
16015,199,0,51,0,148
16016,279,0,68,0,211
16017,254,0,174,0,80
16018,99,0,0,0,99
16019,50,,,,
16020,199,0,0,0,199
16021,48,0,0,0,48
16022,190,45,0,0,145
16023,199,,,,199
16024,300,53,0,0,247
16025,199,0,0,5,194
16026,199,0,0,0,199
16028,40,0,0,0,40
16029,50,0,0,0,50
16030,175,0,0,0,175
17001,838,0,46,0,792
17002,662,0,0,0,662
17003,344,0,30,14,300
17005,554,0,42,0,512
17007,320,120,0,0,200
17008,210,190,0,20,0
17009,243,43,0,0,200
17010,310,0,0,0,310
17011,434,0,100,4,330
17012,835,0,36,0,799
17013,248,0,0,0,248
17014,260,0,0,0,260
17015,220,160,0,0,60
17016,300,,,,
17017,305,0,30,0,275
17018,426,0,0,0,426
